idx,pred_n_img_replaced,pred_render_ok,block_match,text,position,color,clip,final_score_arithmetic,final_score,status,ref_n_img_replaced,ref_render_ok,batch_idx,example_dir
68,0,True,0.9743346299072825,0.9897257045454856,0.7037734567369279,0.799870831614008,0.85205078125,0.8639510808107409,0.8570935799751807,scored,1,True,0,/app/output/examples/batch_00000/sample_00068
291,0,True,1.0,0.9961538461538461,0.8819731148701079,0.836214645518081,0.853515625,0.9135714463084071,0.9108821712398292,scored,5,True,0,/app/output/examples/batch_00000/sample_00291
433,0,True,0.9945432606106224,0.9788589553876996,0.7571153429563489,0.7966918583927506,0.91357421875,0.8881567272194844,0.8828928743791661,scored,4,True,0,/app/output/examples/batch_00000/sample_00433
410,0,True,1.0,0.9979819056501372,0.9173963874428703,0.8737092823936338,0.8837890625,0.9345753275973284,0.9329944343320377,scored,0,True,0,/app/output/examples/batch_00000/sample_00410
391,0,True,0.9815347197110837,0.9965238474779474,0.8545202249189547,0.746612621539772,0.9287109375,0.9015804702295516,0.8966404335972931,scored,1,True,0,/app/output/examples/batch_00000/sample_00391
