idx,pred_n_img_replaced,pred_render_ok,block_match,text,position,color,clip,final_score_arithmetic,final_score,status,ref_n_img_replaced,ref_render_ok,batch_idx,example_dir
17,0,True,0.902327115483707,0.9876679350780462,0.7604278099641073,0.826836951619722,0.86865234375,0.8691824311791166,0.8658841010678748,scored,0,True,0,/app/output/examples/batch_00000/sample_00017
72,0,True,0.888014271921541,0.9908369087623374,0.7870087987308994,0.845197862992103,0.91943359375,0.8860982872313763,0.883438035551122,scored,6,True,0,/app/output/examples/batch_00000/sample_00072
97,2,True,0.9708247783982573,0.9895408623984374,0.9268812851285002,0.8378944513042512,0.83447265625,0.9119228066958893,0.9095781615810069,scored,2,True,0,/app/output/examples/batch_00000/sample_00097
8,0,True,0.9806192565975327,0.993430665055446,0.6847415861428847,0.8647380755965587,0.9267578125,0.8900574791784845,0.8822732344782764,scored,1,True,0,/app/output/examples/batch_00000/sample_00008
32,0,True,0.6691568897965896,0.9731611706756674,0.8238996723181525,0.7907711377768293,0.88330078125,0.8280579303634479,0.8217681333077266,scored,1,True,0,/app/output/examples/batch_00000/sample_00032
68,0,True,0.9333374747558576,0.9850359567806813,0.6034860293686024,0.6376813750878408,0.896484375,0.8112050421985965,0.7948055537036638,scored,2,True,1,/app/output/examples/batch_00001/sample_00068
291,0,True,0.6185824527104956,0.979090316522627,0.7663248697916666,0.683777027411305,0.888671875,0.7872893082872189,0.7763505099991678,scored,1,True,1,/app/output/examples/batch_00001/sample_00291
32,0,True,0.9971368188027744,0.9718838771920802,0.8209925237153509,0.8570511296706101,0.86865234375,0.9031433386261633,0.9005590853648631,scored,2,True,1,/app/output/examples/batch_00001/sample_00032
130,0,True,0.8824270898223113,0.9275563761903532,0.84194841566648,0.8175536035898427,0.869140625,0.8677252220537975,0.8669263106457294,scored,4,True,1,/app/output/examples/batch_00001/sample_00130
60,0,True,0.9846238235607907,0.9813935517100923,0.5726349666437072,0.7114367078070892,0.85595703125,0.8212092161943361,0.8044812516263441,scored,3,True,1,/app/output/examples/batch_00001/sample_00060
